Parameter,Value
Reserves,31
Borrowings,100.00
Lease Liabilities,101
Trade Payables,1899.21
Total Liabilities,6690.58
Fixed Assets,7809
Land,16
Equipment,566.44
Vehicles,6
Inventories,1273
Cash Equivalents,7247
Equity Capital,187.99 crore
Reserves - Capital Reserve,67.81 crore
Reserves - Securities Premium,845.03 crore
Reserves - General Reserve,"2,723.30 crore"
Reserves - Retained Earnings,"10,396.83 crore"
Lease Liabilities,101.37 crore
Trade Payables,"1,899 crore"
Total Liabilities,"6,690.58 crore"
Fixed Assets,"7,809 crore"
Cash Equivalents,"7,247.24 crore"
Other Asset Items,"10,246.45 crore"
Total Assets,"20,919.01 crore"
