Parameter,Value
Equity Capital,Not found
Reserves,31
Borrowings,100.00
Long Term Borrowings,Not found
Short Term Borrowings,Not found
Lease Liabilities,101
Other Borrowings,Not found
Other Liabilities,Not found
Non-Controlling Interest,Not found
Trade Payables,1899.21
Other Liability Items,Not found
Total Liabilities,6690.58
Fixed Assets,7809
Land,16
Building,
Plant and Machinery,Not found
Ships and Vessels,Not found
Equipment,566.44
Furniture and Fittings,Not found
Vehicles,6
Intangible Assets,
Other Fixed Assets,Not found
Gross Block,Not found
Accumulated Depreciation,Not found
Capital Work in Progress (CWIP),Not found
Investments,
Other Assets,Not found
Inventories,1273
Trade Receivables,Not found
Cash Equivalents,7247
Loans and Advances,Not found
Other Asset Items,Not found
Total Assets,Not found
Equity Capital,₹187.99 crore
Reserves - Capital Reserve,₹67.81 crore
Reserves - Securities Premium,₹845.03 crore
Reserves - General Reserve,"₹2,723.30 crore"
Reserves - Retained Earnings,"₹10,396.83 crore"
Borrowings,None
Lease Liabilities,₹101.37 crore
Trade Payables,"₹1,899 crore"
Total Liabilities,"₹6,690.58 crore"
Fixed Assets,"₹7,809 crore"
Cash Equivalents,"₹7,247.24 crore"
Other Asset Items,"₹10,246.45 crore"
Total Assets,"₹20,919.01 crore"
